- Prediction from year (2021 - delta, 2021), with delta = [1, 3, 5]
- Minimal vertex degree: cutoff = [0, 5, 25]
- Prediction from unconnected to edge_weight = [1, 3] edges

(delta, cutoff, edge_weight):
- (1, 0, 1): AUC_full = 0.8816004235926113, AUC_val = 0.882117886288519
- (3, 0, 1): AUC_full = 0.8314948375001945, AUC_val = 0.848757092544526
- (5, 0, 1): AUC_full = 0.751059124692982, AUC_val = 0.777343717709623
- (1, 5, 1): AUC_full = 0.8905035689016142, AUC_val = 0.9028872326678049
- (3, 5, 1): AUC_full = 0.874815732601947, AUC_val = 0.8601109828901972
- (5, 5, 1): AUC_full = 0.8355821566652946, AUC_val = 0.8370837489030771
- (1, 25, 1): AUC_full = 0.8896916030472404, AUC_val = 0.8941371709811132
- (3, 25, 1): AUC_full = 0.8650014811151249, AUC_val = 0.8692780016792612
- (5, 25, 1): AUC_full = 0.834308482872417, AUC_val = 0.8320329549206349
- (1, 0, 3): AUC_full = 0.9563376783985092, AUC_val = 0.999874996874922
- (3, 0, 3): AUC_full = 0.9601331918156684, AUC_val = 0.9989966743348669
- (5, 0, 3): AUC_full = 0.8924196726887142, AUC_val = 0.9504108065890645
- (1, 5, 3): AUC_full = 0.998329983299833, AUC_val = 0.5
- (3, 5, 3): AUC_full = 0.9618966850960118, AUC_val = 0.9788169019207555
- (5, 5, 3): AUC_full = 0.9552727409430638, AUC_val = 0.9613068166765281
- (1, 25, 3): AUC_full = 0.998669986699867, AUC_val = 0.5
- (3, 25, 3): AUC_full = 0.9863481785426418, AUC_val = 0.9844123327001378
- (5, 25, 3): AUC_full = 0.9390387243780162, AUC_val = 0.9213358113069016
